month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,9000.0,4300.0,300.0,0.06,1.0,9183.266544613383,1.020362949401487,9183.266544613383,0.0,7346.613235690707,7346.613235690707,0.7301344897327279,9000.0,0.7301344897327279,0.7301344897327279,7.341245600843839,6.611111111111112,1.5234678230660612,0.5900000000000001,775.4028280961566,53820.0,-51378.546691077325,698621.4533089227,nan,0.0,,,,,,,True
2,11720.026658060795,4188.005331612158,1467.978673551365,0.16310874150570723,0.5703802437262199,12045.110853473969,1.0277374962444805,12045.110853473969,0.0,9636.088682779175,9636.088682779175,0.7678695054298732,11720.026658060795,0.7678695054298732,0.7678695054298732,7.378980616540986,6.6111111111111125,1.5612028387632066,0.35370913404942095,636.637609229103,54093.60479845094,-50896.99683633447,647724.4564725882,nan,0.0,,,,,,,True
3,14001.948730615624,4170.466013994614,1888.543941439785,0.16113819503481103,0.5785908540216207,14449.12955280672,1.0319370418214233,14449.12955280672,0.0,11559.303642245377,11559.303642245377,0.7703573833906493,14001.948730615624,0.7703573833906493,0.7703573833906493,7.381468494501761,6.611111111111112,1.5636907167239826,0.3582249697118914,772.7990557583016,54294.83077151081,-50464.073906252095,597260.3825663362,nan,0.0,,,,,,,True
4,15884.732663249477,4137.227310363708,2254.4433777298545,0.1610092581470789,0.5791280910538379,16427.964527636326,1.0341983636680054,16427.964527636326,0.0,13142.371622109062,13142.371622109062,0.7720029237941158,15884.732663249477,0.7720029237941158,0.7720029237941158,7.383114034905228,6.6111111111111125,1.5653362571274494,0.35852045007961086,879.3115623925733,54430.49747938491,-50077.45053888728,547182.9320274489,nan,0.0,,,,,,,True
5,17421.96462081249,4093.467343307571,2556.235385744558,0.16092404196758064,0.5794831584684139,18034.942018461203,1.035184171876715,18034.942018461203,0.0,14427.953614768963,14427.953614768963,0.7727106438572147,17421.96462081249,0.7727106438572147,0.7727106438572147,7.383821754968325,6.611111111111111,1.5660439771905479,0.35871573715762767,965.8161153633282,54510.06186374625,-49732.31743753541,497450.6145899135,nan,0.0,,,,,,,True
6,18659.829658990377,4040.8397671243265,2802.974728946438,0.16088740793320006,0.5796358002783331,19318.01184294907,1.0352726791180313,19318.01184294907,0.0,15454.409474359256,15454.409474359256,0.7727646032527534,18659.829658990377,0.7727646032527534,0.7727646032527534,7.383875714363866,6.6111111111111125,1.566097936586087,0.35879969015308316,1034.7536111655954,54541.654323658266,-49424.1114019843,448026.5031879292,nan,0.0,,,,,,,True
7,19638.605510048743,3980.8553655238957,3002.0795144655262,0.16088461520435762,0.5796474366485099,20320.08884457162,1.034701207994334,20320.08884457162,0.0,16256.071075657295,16256.071075657295,0.7723371143396469,19638.605510048743,0.7723371143396469,0.7723371143396469,7.383448225450758,6.611111111111112,1.5656704476729804,0.35880609015668047,1088.4471663715594,54532.34742729757,-49148.615368107974,398877.88781982125,nan,0.0,,,,,,,True
8,20393.45226711503,3914.8307853157976,3159.9840282495097,0.1609067419085637,0.5795552420476513,21079.257656500224,1.0336287049589477,21079.257656500224,0.0,16863.40612520018,16863.40612520018,0.7715438612582806,20393.45226711503,0.7715438612582806,0.7715438612582806,7.382654972369393,6.611111111111112,1.564877194591614,0.3587553831262082,1128.9632186438157,54488.29789050484,-48902.006366854665,349975.8814529666,nan,0.0,,,,,,,True
9,20955.082779330878,3843.911988670698,3282.2814764548507,0.16094780979028325,0.5793841258738197,21629.143474563447,1.032166930683635,21629.143474563447,0.0,17303.31477965076,17303.314779650755,0.7704662629902219,20955.082779330878,0.7704662629902219,0.7704662629902219,7.381577374101335,6.6111111111111125,1.5637995963235554,0.3586612692306008,1158.1304600089425,54414.86708823097,-48680.85683054724,301295.0246224194,nan,0.0,,,,,,,True
10,21350.333041620903,3769.0944069124657,3373.8441446224424,0.1610036180792493,0.5791515913364613,21999.32935609604,1.0303974796650697,21999.32935609604,0.0,17599.463484876833,17599.463484876833,0.769163804728469,21350.333041620903,0.769163804728469,0.769163804728469,7.38027491583958,6.611111111111112,1.5624971380618025,0.35853337523505374,1177.5600903637533,54316.72356980463,-48482.115318188495,252812.90930423088,nan,0.0,,,,,,,True
